Project Name,Module,Created By,Date,TC_ID,Scenario_ID,Priority,Linked Docs,Test Case Name,Endpoint,Method,Headers,Payload,Expected Status,Validation
Restful Booker,Auth,QA Automation,2026-03-15,TC_AT_001,SC_01,High,apidoc/index.html,Generate Token - Valid Credentials,/auth,POST,Content-Type: application/json,"{""username"":""admin"",""password"":""password123""}",200,Response contains non-empty 'token' string
Restful Booker,Auth,QA Automation,2026-03-15,TC_AT_002,SC_01,Medium,apidoc/index.html,Generate Token - Invalid Username,/auth,POST,Content-Type: application/json,"{""username"":""wronguser"",""password"":""password123""}",200,Response contains 'reason': 'Bad credentials'
Restful Booker,Auth,QA Automation,2026-03-15,TC_AT_003,SC_01,Medium,apidoc/index.html,Generate Token - Missing Payload,/auth,POST,Content-Type: application/json,{},200,Response contains 'reason': 'Bad credentials'
Restful Booker,Booking,QA Automation,2026-03-15,TC_GBI_001,SC_02,High,apidoc/index.html,Get All Booking IDs,/booking,GET,,,200,Response is a JSON array of objects with 'bookingid' field
Restful Booker,Booking,QA Automation,2026-03-15,TC_GBI_002,SC_02,Medium,apidoc/index.html,Get Booking IDs - Filter by Existing Name,/booking?firstname=Sally&lastname=Brown,GET,,,200,Response returns an array of matching 'bookingid's
Restful Booker,Booking,QA Automation,2026-03-15,TC_GBI_003,SC_02,Low,apidoc/index.html,Get Booking IDs - Filter by Non-Existent Name,/booking?firstname=NonExistent&lastname=User,GET,,,200,Response returns an empty array []
Restful Booker,Booking,QA Automation,2026-03-15,TC_GBI_004,SC_02,Medium,apidoc/index.html,Get Booking IDs - Filter by Checkin/Checkout dates,/booking?checkin=2014-03-13&checkout=2014-05-21,GET,,,200,Response returns an array of matching 'bookingid's within the given date range
Restful Booker,Booking,QA Automation,2026-03-15,TC_GB_001,SC_03,High,apidoc/index.html,Get Booking Details by Valid ID,/booking/1,GET,Accept: application/json,,200,"Response contains booking details (firstname, lastname, totalprice, depositpaid, bookingdates)"
Restful Booker,Booking,QA Automation,2026-03-15,TC_GB_002,SC_03,Medium,apidoc/index.html,Get Booking Details - Missing Accept Header,/booking/1,GET,,,418,Returns 'I\'m a Teapot' or generic error as Accept header is strongly recommended
Restful Booker,Booking,QA Automation,2026-03-15,TC_GB_003,SC_03,High,apidoc/index.html,Get Booking Details - Invalid ID (Non-existent),/booking/999999,GET,Accept: application/json,,404,Response indicates Not Found
Restful Booker,Booking,QA Automation,2026-03-15,TC_GB_004,SC_03,Medium,apidoc/index.html,Get Booking Details - Invalid ID Format (String),/booking/abc,GET,Accept: application/json,,404,Response indicates Not Found
Restful Booker,Booking,QA Automation,2026-03-15,TC_CB_001,SC_04,High,apidoc/index.html,Create New Booking - Valid Payload,/booking,POST,"Content-Type: application/json, Accept: application/json","{""firstname"":""Jim"",""lastname"":""Brown"",""totalprice"":111,""depositpaid"":true,""bookingdates"":{""checkin"":""2018-01-01"",""checkout"":""2019-01-01""},""additionalneeds"":""Breakfast""}",200,Response contains created 'bookingid' and the provided 'booking' details object
Restful Booker,Booking,QA Automation,2026-03-15,TC_CB_002,SC_04,High,apidoc/index.html,Create New Booking - Missing Required Fields,/booking,POST,"Content-Type: application/json, Accept: application/json","{""firstname"":""Jim"",""lastname"":""Brown""}",500,Server responds with 500 Internal Server Error due to missing fields
Restful Booker,Booking,QA Automation,2026-03-15,TC_CB_003,SC_04,Medium,apidoc/index.html,Create New Booking - Invalid Data Type (totalprice as string),/booking,POST,"Content-Type: application/json, Accept: application/json","{""firstname"":""Jim"",""lastname"":""Brown"",""totalprice"":""invalid"",""depositpaid"":true,""bookingdates"":{""checkin"":""2018-01-01"",""checkout"":""2019-01-01""}}",500,Server error due to type mismatch
Restful Booker,Booking,QA Automation,2026-03-15,TC_UB_001,SC_05,High,apidoc/index.html,Update Booking - Valid Payload & Valid Auth,/booking/1,PUT,"Content-Type: application/json, Accept: application/json, Cookie: token=<valid_token>","{""firstname"":""James"",""lastname"":""Brown"",""totalprice"":111,""depositpaid"":true,""bookingdates"":{""checkin"":""2018-01-01"",""checkout"":""2019-01-01""},""additionalneeds"":""Breakfast""}",200,Response updates successfully and returns modified booking details
Restful Booker,Booking,QA Automation,2026-03-15,TC_UB_002,SC_05,High,apidoc/index.html,Update Booking - Missing Auth Token,/booking/1,PUT,"Content-Type: application/json, Accept: application/json","{""firstname"":""James"",""lastname"":""Brown"",...}",403,Response indicates Forbidden
