Key,Summary,Issue Type,Priority,Status,Story Points,Component,Labels,Assignee,Reporter,Description,Steps,Expected Result,Test Type,Test Data
TC-1,Verify Safari - Scroll Company Name is selected with slow connection,Test Case,High,To Do,4,Web App,"Safari,Positive,Regression",QA Team,QA Team,"Verify Safari - Scroll Company Name is selected with slow connection

**Precondition:** User is on app.vwo.com login/registration page

**Steps:**
1. Navigate to app.vwo.com
2. Scroll Company Name field
3. Leave Company Name with test data
4. Submit Register button
5. Verify is selected

**Expected Result:** User is redirected to dashboard","1. Navigate to app.vwo.com
2. Scroll Company Name field
3. Leave Company Name with test data
4. Submit Register button
5. Verify is selected",User is redirected to dashboard,Positive,Null
TC-2,Verify Input Fields - Click Address is required with concurrent requests,Test Case,High,To Do,5,Web App,"Input Fields,Decision Table,Regression",Unassigned,QA Team,"Verify Input Fields - Click Address is required with concurrent requests

**Precondition:** User is on app.vwo.com login/registration page

**Steps:**
1. Navigate to app.vwo.com
2. Click Address field
3. Clear Address with test data
4. Submit Next button
5. Verify is required

**Expected Result:** Validation error is shown","1. Navigate to app.vwo.com
2. Click Address field
3. Clear Address with test data
4. Submit Next button
5. Verify is required",Validation error is shown,Decision Table,Null
TC-3,Verify Desktop View - Clear City is hidden with leading spaces,Test Case,Medium,To Do,6,Web App,"Desktop View,Positive,Regression",Unassigned,QA Team,"Verify Desktop View - Clear City is hidden with leading spaces

**Precondition:** User is on app.vwo.com login/registration page

**Steps:**
1. Navigate to app.vwo.com
2. Clear City field
3. Leave City with test data
4. Select Submit button
5. Verify is hidden

**Expected Result:** User is redirected to dashboard","1. Navigate to app.vwo.com
2. Clear City field
3. Leave City with test data
4. Select Submit button
5. Verify is hidden",User is redirected to dashboard,Positive,Boundary
TC-4,Verify Performance - Edit Phone Number is outside range with special characters,Test Case,Low,To Do,6,Web App,"Performance,Compatibility,Regression",Unassigned,QA Team,"Verify Performance - Edit Phone Number is outside range with special characters

**Precondition:** User is on app.vwo.com login/registration page

**Steps:**
1. Navigate to app.vwo.com
2. Edit Phone Number field
3. Clear Phone Number with test data
4. Select Next button
5. Verify is outside range

**Expected Result:** Success message is displayed","1. Navigate to app.vwo.com
2. Edit Phone Number field
3. Clear Phone Number with test data
4. Select Next button
5. Verify is outside range",Success message is displayed,Compatibility,Null
TC-5,Verify Security - Refresh Phone Number contains during network failure,Test Case,Low,To Do,6,Web App,"Security,Security,Regression",Automation Team,QA Team,"Verify Security - Refresh Phone Number contains during network failure

**Precondition:** User is on app.vwo.com login/registration page

**Steps:**
1. Navigate to app.vwo.com
2. Refresh Phone Number field
3. Leave Phone Number with test data
4. Submit Login button
5. Verify contains

**Expected Result:** Phone Number contains","1. Navigate to app.vwo.com
2. Refresh Phone Number field
3. Leave Phone Number with test data
4. Submit Login button
5. Verify contains",Phone Number contains,Security,Null
TC-6,Verify Timeouts - Minimize Checkbox is selected with maximum characters,Test Case,Medium,To Do,1,Web App,"Timeouts,Security,Regression",QA Team,QA Team,"Verify Timeouts - Minimize Checkbox is selected with maximum characters

**Precondition:** User is on app.vwo.com login/registration page

**Steps:**
1. Navigate to app.vwo.com
2. Minimize Checkbox field
3. Clear Checkbox with test data
4. Select Login button
5. Verify is selected

**Expected Result:** Validation error is shown","1. Navigate to app.vwo.com
2. Minimize Checkbox field
3. Clear Checkbox with test data
4. Select Login button
5. Verify is selected",Validation error is shown,Security,Valid
TC-7,Verify Chrome - Refresh Phone Number is valid with XSS,Test Case,High,To Do,3,Web App,"Chrome,Negative,Regression",Unassigned,QA Team,"Verify Chrome - Refresh Phone Number is valid with XSS

**Precondition:** User is on app.vwo.com login/registration page

**Steps:**
1. Navigate to app.vwo.com
2. Refresh Phone Number field
3. Leave Phone Number with test data
4. Click Cancel button
5. Verify is valid

**Expected Result:** User is redirected to dashboard","1. Navigate to app.vwo.com
2. Refresh Phone Number field
3. Leave Phone Number with test data
4. Click Cancel button
5. Verify is valid",User is redirected to dashboard,Negative,Invalid
TC-8,Verify Dashboard - Hover Verification Code is valid with leading spaces,Test Case,Low,To Do,5,Web App,"Dashboard,Compatibility,Regression",Automation Team,QA Team,"Verify Dashboard - Hover Verification Code is valid with leading spaces

**Precondition:** User is on app.vwo.com login/registration page

**Steps:**
1. Navigate to app.vwo.com
2. Hover Verification Code field
3. Fill in Verification Code with test data
4. Click Submit button
5. Verify is valid

**Expected Result:** Error message 'This field is required' is displayed","1. Navigate to app.vwo.com
2. Hover Verification Code field
3. Fill in Verification Code with test data
4. Click Submit button
5. Verify is valid",Error message 'This field is required' is displayed,Compatibility,Boundary
TC-9,Verify Navigation - Submit Zip Code equals with multiple tabs,Test Case,Low,To Do,3,Web App,"Navigation,Security,Regression",Unassigned,QA Team,"Verify Navigation - Submit Zip Code equals with multiple tabs

**Precondition:** User is on app.vwo.com login/registration page

**Steps:**
1. Navigate to app.vwo.com
2. Submit Zip Code field
3. Clear Zip Code with test data
4. Submit Submit button
5. Verify equals

**Expected Result:** Data is saved successfully","1. Navigate to app.vwo.com
2. Submit Zip Code field
3. Clear Zip Code with test data
4. Submit Submit button
5. Verify equals",Data is saved successfully,Security,Invalid
TC-10,Verify Links - Edit First Name is invalid with concurrent requests,Test Case,Medium,To Do,4,Web App,"Links,Decision Table,Regression",Automation Team,QA Team,"Verify Links - Edit First Name is invalid with concurrent requests

**Precondition:** User is on app.vwo.com login/registration page

**Steps:**
1. Navigate to app.vwo.com
2. Edit First Name field
3. Clear First Name with test data
4. Click Save button
5. Verify is invalid

**Expected Result:** Data is saved successfully","1. Navigate to app.vwo.com
2. Edit First Name field
3. Clear First Name with test data
4. Click Save button
5. Verify is invalid",Data is saved successfully,Decision Table,Boundary
